Name,City,State
Presbyterian College,Clinton,SC
University of South Carolina-Beaufort,Bluffton,SC
University of South Carolina-Lancaster,Lancaster,SC
University of South Carolina-Sumter,Sumter,SC
Spartanburg Methodist College,Spartanburg,SC
Central Carolina Technical College,Sumter,SC
O'Briens Aveda Institute,South Burlington,VT
Emory & Henry College,Emory,VA
Eastern Mennonite University,Harrisonburg,VA
Hollins University,Roanoke,VA
Lord Fairfax Community College,Middletown,VA
Empire Beauty School-Hurstborne,Louisville,KY
Moore Norman Technology Center,Norman,OK
Paul Mitchell the School-Houston,Houston,TX
Fortis Institute-Forty Fort,Forty Fort,PA
Southern Union State Community College,Wadley,AL
Huntington School of Beauty Culture-Main Campus,Huntington,WV
Pacific College of Oriental Medicine-San Diego,San Diego,CA
Sanford-Brown Institute-Tampa,Tampa,FL
University of Phoenix-Utah Campus,Salt Lake City,UT
CET-Rancho Temecula,Temecula,CA
Bryant & Stratton College-Henrietta,Rochester,NY
EINE Inc,Tewksbury,MA
Computer Systems Institute,Skokie,IL
CET-Alexandria,Alexandria,VA
Cambria-Rowe Business College-Indiana,Indiana,PA
East West College of Natural Medicine,Sarasota,FL
Lacy Cosmetology School-Aiken,Aiken,SC
Omega Institute of Cosmetology,Houma,LA
Anthem College-Irving,Irving,TX
Westwood College-River Oaks,Calumet City,IL
New York Automotive and Diesel Institute,Jamaica,NY
W L Bonner College,Columbia,SC
ITT Technical Institute-Kansas City,Kansas City,MO
ITT Technical Institute-Owings Mills,Owings Mills,MD
Union Graduate College,Schenectady,NY
Chambersburg Beauty School,Chambersburg,PA
Daytona College,Ormond Beach,FL
United States University,Chula Vista,CA
Academy of Hair Design-Jasper,Jasper,TX
Unitech Training Academy-West Monroe,West Monroe,LA
New River Community and Technical College,Beckley,WV
Mississippi Institute of Aesthetics Nails & Cosmetology,Clinton,MS
Charlotte School of Law,Charlotte,NC
Total Image Beauty Academy,Union City,NJ
American Institute of Medical Sciences & Education,Piscataway,NJ
Career School of NY,Staten Island,NY
Pacific Northwest University of Health Sciences,Yakima,WA
Fortis College-Montgomery,Montgomery,AL
Miller-Motte College-Greenville,Greenville,NC
Metro Business College-Arnold,Arnold,MO
Providence Christian College,Pasadena,CA
Fuller Theological Seminary in California,Pasadena,CA
Glendale Community College,Glendale,CA
Glendale Career College,Glendale,CA
Pacifica Graduate Institute,Carpinteria,CA
Irvine Valley College,Irvine,CA
College of Central Florida,Ocala,FL
Clearwater Christian College,Clearwater,FL
Eckerd College,Saint Petersburg,FL
Edward Waters College,Jacksonville,FL
Embry-Riddle Aeronautical University-Daytona Beach,Daytona Beach,FL
Florida International University,Miami,FL
Florida Keys Community College,Key West,FL
University of Southernmost Florida,Jacksonville,FL
University of Florida,Gainesville,FL
Fort Pierce Beauty Academy,Fort Pierce,FL
Good Samaritan Hospital School of Radiologic Technology,Vincennes,IN
J Michael Harrold Beauty Academy,Terre Haute,IN
Holy Cross College,Notre Dame,IN
Indiana University-Kokomo,Kokomo,IN
Indiana University-South Bend,South Bend,IN
International Business College-Indianapolis,Indianapolis,IN
Indiana Wesleyan University,Marion,IN
Martin University,Indianapolis,IN
St John's College,Annapolis,MD
Towson University,Towson,MD
Assabet Valley Regional Technical School,Marlborough,MA
Babson College,Wellesley,MA
Bay State School of Technology,Canton,MA
Bunker Hill Community College,Boston,MA
Emmanuel College,Boston,MA
Episcopal Divinity School,Cambridge,MA
Missouri School of Barbering & Hairstyling,Florissant,MO
Missouri Southern State University,Joplin,MO
Missouri Tech,Saint Charles,MO
Moberly Area Community College,Moberly,MO
National Academy of Beauty Arts-St Louis,Saint Louis,MO
Nazarene Theological Seminary,Kansas City,MO
Rockhurst University,Kansas City,MO
Rolla Technical Institute,Rolla,MO
St Louis College of Health Careers-St Louis,Saint Louis,MO
LIU Hudson at Rockland,Orangeburg,NY
Mandl School-The College of Allied Health,New York,NY
Manhattanville College,Purchase,NY
Southern Westchester BOCES-Practical Nursing Program,Harrison,NY
Mirrer Yeshiva Cent Institute,Brooklyn,NY
Mohawk Valley Community College,Utica,NY
Molloy College,Rockville Centre,NY
New York Chiropractic College,Seneca Falls,NY
Star Career Academy-New York,New York,NY
New York School for Medical and Dental Assistants,Long Island City,NY
Firelands Regional Medical Center School of Nursing,Sandusky,OH
Rabbinical College Telshe,Wickliffe,OH
Fortis College-Centerville,Centerville,OH
Daymar College-New Boston,New Boston,OH
Brown Mackie College-Akron,Akron,OH
Lincoln College of Technology-Franklin LCT,Franklin,OH
Lincoln College of Technology-Vine Street,Cincinnati,OH
Lincoln College of Technology-Dayton,Dayton,OH
Trumbull Business College,Warren,OH
Ursuline College,Pepper Pike,OH
Valley Beauty School,Cambridge,OH
Virginia Marti College of Art and Design,Lakewood,OH
Cut Beauty School,Cleveland Heights,OH
W Howard Nicol School of Practical Nursing,Uniontown,OH
Aiken Technical College,Graniteville,SC
Allen University,Columbia,SC
Bob Jones University,Greenville,SC
Sherman College of Straight Chiropractic,Spartanburg,SC
Tri-County Technical College,Pendleton,SC
Trident Technical College,Charleston,SC
Voorhees College,Denmark,SC
Suffolk Beauty Academy,Suffolk,VA
Bryant & Stratton College-Richmond,North Chesterfield,VA
Ferrum College,Ferrum,VA
James Madison University,Harrisonburg,VA
Liberty University,Lynchburg,VA
Longwood University,Farmville,VA
Owensboro Community and Technical College,Owensboro,KY
Heads West Kentucky Beauty College,Madisonville,KY
Franklin County Career and Technology Center,Chambersburg,PA
Okefenokee Technical College,Waycross,GA
Sanford-Brown Institute-Trevose,Trevose,PA
Kaplan Career Institute-Harrisburg,Harrisburg,PA
University of Washington-Bothell Campus,Bothell,WA
Fond du Lac Tribal and Community College,Cloquet,MN
Provo College,Provo,UT
Roger Williams University School of Law,Bristol,RI
Sage College,Moreno Valley,CA
Lincoln Technical Institute-Hartford,Hartford,CT
Technical Education Center-Osceola,Kissimmee,FL
Miami Ad School-Miami Beach,Miami Beach,FL
John Wesley International Barber and Beauty College,Long Beach,CA
Ottawa University-Milwaukee,Brookfield,WI
Argosy University-Tampa,Tampa,FL
Infinity Career College,Gulfport,MS
ATS Institute of Technology,Highland Heights,OH
Blue Cliff College-Lafayette,Lafayette,LA
Central Florida Institute,Palm Harbor,FL
Marinello Schools of Beauty-Topeka,Topeka,KS
Shawnee Beauty College,Shawnee,OK
Aviation Institute of Maintenance-Atlanta,Duluth,GA
Kaplan College-Laredo,Laredo,TX
Stevens-Henager College-Logan,Logan,UT
Kaplan College-Fresno,Clovis,CA
Everest Institute-Gahanna,Gahanna,OH
Everest College-Merrionette Park,Merrionette Park,IL
Everest Institute-Silver Spring,Silver Spring,MD
Alvareitas College of Cosmetology-Belleville,Belleville,IL
Platt College-Moore,Moore,OK
Platt College-Dallas,Dallas,TX
Tricoci University of Beauty Culture-Peoria,Peoria,IL
Tricoci University of Beauty Culture-Rockford,Rockford,IL
Urshan Graduate School of Theology,Florissant,MO
Claremont McKenna College,Claremont,CA
Clovis Adult Education,Clovis,CA
Coastline Community College,Fountain Valley,CA
Cosumnes River College,Sacramento,CA
Design Institute of San Diego,San Diego,CA
DeVry University-California,Pomona,CA
Marinello Schools of Beauty-Burbank,Burbank,CA
Emperor's College of Traditional Oriental Medicine,Santa Monica,CA
Post University,Waterbury,CT
Quinnipiac University,Hamden,CT
Western Connecticut State University,Danbury,CT
Yale University,New Haven,CT
Beebe Medical Center Margaret H Rollins School of Nursing,Lewes,DE
Pontifical Faculty of the Immaculate Conception at the Dominican House of Studies,Washington,DC
George Washington University,Washington,DC
National Conservatory of Dramatic Arts,Washington,DC
Wesley Theological Seminary,Washington,DC
Gooding Institute of Nurse Anesthesia,Panama City,FL
GUTI The Premier Beauty & Wellness Academy,Bradenton,FL
Quincy University,Quincy,IL
Richland Community College,Decatur,IL
Robert Morris University Illinois,Chicago,IL
Madison Media Institute - Rockford Career College,Rockford,IL
University of Saint Mary of the Lake,Mundelein,IL
Saint Anthony College of Nursing,Rockford,IL
Taylor Business Institute,Chicago,IL
VanderCook College of Music,Chicago,IL
Baltimore City Community College,Baltimore,MD
North American Trade Schools,Baltimore,MD
Frederick Community College,Frederick,MD
L'Academie de Cuisine,Gaithersburg,MD
Maryland Beauty Academy of Reisterstown,Reisterstown,MD
University of Maryland-Baltimore County,Baltimore,MD
Ner Israel Rabbinical College,Baltimore,MD
Prince George's Community College,Largo,MD
TESST College of Technology-Baltimore,Baltimore,MD
William Carey University,Hattiesburg,MS
Central Methodist University-College of Liberal Arts and Sciences,Fayette,MO
Ozarks Technical Community College,Springfield,MO
Hickey College,Saint Louis,MO
Lincoln University,Jefferson City,MO
Dutchess Community College,Poughkeepsie,NY
Elmira College,Elmira,NY
Erie Community College,Buffalo,NY
Fashion Institute of Technology,New York,NY
Herkimer County Community College,Herkimer,NY
Houghton College,Houghton,NY
Hudson Valley Community College,Troy,NY
LIU Post,Brookville,NY
Mount Vernon Nazarene University,Mount Vernon,OH
Zane State College,Zanesville,OH
Ohio State University Agricultural Technical Institute,Wooster,OH
Ohio State University-Mansfield Campus,Mansfield,OH
Ohio State University-Newark Campus,Newark,OH
Ohio State College of Barber Styling,Columbus,OH
Ohio University-Lancaster Campus,Lancaster,OH
St Lukes Hospital School of Nursing,Bethlehem,PA
Swarthmore College,Swarthmore,PA
Washington Hospital School of Nursing,Washington,PA
Waynesburg University,Waynesburg,PA
Western Pennsylvania Hospital School of Nursing,Pittsburgh,PA
New England Institute of Technology,East Greenwich,RI
New England Tractor Trailer Training School of Rhode Island,Pawtucket,RI
Mountain Empire Community College,Big Stone Gap,VA
New River Community College,Dublin,VA
Rappahannock Community College,Glenns,VA
University of Richmond,University of Richmond,VA
Saint Pauls College,Lawrenceville,VA
Union Presbyterian Seminary,Richmond,VA
Virginia Highlands Community College,Abingdon,VA
Virginia Military Institute,Lexington,VA
Tulsa Technology Center-Lemley Campus,Tulsa,OK
Tulsa Technology Center-Broken Arrow Campus,Broken Arrow,OK
Douglas J Aveda Institute,East Lansing,MI
Pennsylvania Institute of Health and Technology,Mount Braddock,PA
Bethel Seminary-San Diego,San Diego,CA
Brandman University,Irvine,CA
New College of Florida,Sarasota,FL
Colorado School of Healing Arts,Lakewood,CO
Empire Beauty School-Arvada,Arvada,CO
Southwest Collegiate Institute for the Deaf,Big Spring,TX
Robert Fiance Beauty Schools-North Plainfield,North Plainfield,NJ
Academy for Nursing and Health Occupations,West Palm Beach,FL
East San Gabriel Valley Regional Occupational Program,West Covina,CA
Yukon Beauty College Inc,Yukon,OK
Toni & Guy Hairdressing Academy-Atlanta,Marietta,GA
Urban College of Boston,Boston,MA
Branford Hall Career Institute-Windsor Campus,Windsor,CT
Golf Academy of America-Altamonte Springs,Apopka,FL
Studio Jewelers,New York,NY
Praxis Institute,Miami,FL
ITT Technical Institute-Levittown,Levittown,PA
National American University-Brooklyn Center,Brooklyn Center,MN
Oregon State University-Cascades Campus,Bend,OR
East Valley Institute of Technology,Mesa,AZ
Compass Career College,Hammond,LA
Nuvo College of Cosmetology,Norton Shores,MI
Brookline College-Oklahoma City,Oklahoma City,OK
Northwest Regional Technology Institute,Erie,PA
Mountainland Applied Technology College,Lehi,UT
Tricoci University of Beauty Culture-Libertyville,Libertyville,IL
Sanford-Brown College-San Antonio,San Antonio,TX
ITT Technical Institute-Madison,Madison,MS
ITT Technical Institute-Huntington,Huntington,WV
ITT Technical Institute-Fort Myers,Fort Myers,FL
Fortis College-Salt Lake City,Salt Lake City,UT
Salon Success Academy-Redlands,Redlands,CA
Beauty Schools of America-Homestead,Homestead,FL
Citrus Heights Beauty College,Citris Heights,CA
Coleman University,San Diego,CA
Contra Costa Community College District Office,Martinez,CA
Cuyamaca College,El Cajon,CA
International School of Beauty Inc,Palm Desert,CA
San Diego Continuing Education,San Diego,CA
Fashion Institute of Design & Merchandising-Los Angeles,Los Angeles,CA
St Vincent's College,Bridgeport,CT
Wesleyan University,Middletown,CT
Delaware Technical Community College-Stanton/Wilmington,Wilmington,DE
Wesley College,Dover,DE
Catholic University of America,Washington,DC
Bethune-Cookman University,Daytona Beach,FL
The Illinois Institute of Art-Chicago,Chicago,IL
Dominican University,River Forest,IL
Shimer College,Chicago,IL
Spertus College,Chicago,IL
Southern Illinois University-Edwardsville,Edwardsville,IL
Tri-County Beauty Academy,Litchfield,IL
Trinity International University-Illinois,Deerfield,IL
Triton College,River Grove,IL
University of Spa & Cosmetology Arts,Springfield,IL
Ball State University,Muncie,IN
Tricoci University of Beauty Culture-Highland,Highland,IN
Anne Arundel Community College,Arnold,MD
Award Beauty School,Hagerstown,MD
Chesapeake College,Wye Mills,MD
Delmarva Beauty Academy,Salisbury,MD
Goucher College,Baltimore,MD
University of Maryland-University College,Adelphi,MD
University of Maryland-College Park,College Park,MD
Morgan State University,Baltimore,MD
Robert Paul Academy of Cosmetology Arts & Sciences,Timonium,MD
Calvary Bible College and Theological Seminary,Kansas City,MO
Covenant Theological Seminary,Saint Louis,MO
Jefferson College,Hillsboro,MO
Dominican College of Blauvelt,Orangeburg,NY
Hamilton College,Clinton,NY
Hartwick College,Oneonta,NY
Helene Fuld College of Nursing,New York,NY
Hobart William Smith Colleges,Geneva,NY
Institute of Audio Research,New York,NY
Kehilath Yakov Rabbinical Seminary,Ossining,NY
Lorain County Community College,Elyria,OH
Methodist Theological School in Ohio,Delaware,OH
Miami University-Middletown,Middletown,OH
Brown Mackie College-North Canton,Canton,OH
National Beauty College,Canton,OH
Oberlin College,Oberlin,OH
The Spa School,Columbus,OH
Ohio University-Eastern Campus,Saint Clairsville,OH
Ohio University-Zanesville Campus,Zanesville,OH
Ohio Valley College of Technology,East Liverpool,OH
Theological Seminary of the Reformed Episcopal Church,Blue Bell,PA
Thomas Jefferson University,Philadelphia,PA
Valley Forge Military College,Wayne,PA
Westminster Theological Seminary,Glenside,PA
Widener University-Main Campus,Chester,PA
Providence College,Providence,RI
Rhode Island College,Providence,RI
University of Rhode Island,Kingston,RI
Northern Virginia Community College,Annandale,VA
Radford University,Radford,VA
Randolph-Macon College,Ashland,VA
Virginia Western Community College,Roanoke,VA
Virginia Union University,Richmond,VA
Evergreen Beauty and Barber College-Bellevue,Bellevue,WA
Clinton Technical School,Clinton,MO
Consolidated School of Business-Lancaster,Lancaster,PA
Platt College-Los Angeles,Alhambra,CA
ITT Technical Institute-Troy,Troy,MI
Faust Institute of Cosmetology-Spirit Lake,Spirit Lake,IA
Baker College of Port Huron,Port Huron,MI
Empire Beauty School-Hyannis,Hyannis,MA
Texas School of Business-Southwest,Houston,TX
King's College,Charlotte,NC
Miller-Motte Technical College-Clarksville,Clarksville,TN
Fortis College-Richmond,Richmond,VA
Advanced Technical Centers,Miami,FL
Hawaii Community College,Hilo,HI
Marian Health Careers Center-Los Angeles Campus,Los Angeles,CA
Arlington Medical Institute,Arlington,TX
ITT Technical Institute-Henderson,Henderson,NV
Anthem College-Minnesota,Saint Louis Park,MN
Empire Beauty School-Bordentown,Bordentown,NJ
Virginia School of Massage,Charlottesville,VA
Prism Career Institute-West Atlantic City,West Atlantic City,NJ
Everest Institute-Marietta,Marietta,GA
The Creative Center,Omaha,NE
Texas Health and Science University,Austin,TX
Centura College-Richmond Westend,Richmond,VA
New Saint Andrews College,Moscow,ID
DeVry University-Washington,Federal Way,WA
DeVry University's Keller Graduate School of Management-Texas,Irving,TX
National American University-Ellsworth AFB Extension,Ellsworth Air Force Base,SD
Milan Institute-Boise,Boise,ID
Vatterott College-Tulsa,Tulsa,OK
The Seattle School of Theology & Psychology,Seattle,WA
Kaplan College-Palm Springs,Palm Springs,CA
Phoenix Institute of Herbal Medicine & Acupuncture,Phoenix,AZ
University of East-West Medicine,Sunnyvale,CA
Trendsetters School of Beauty & Barbering,Jacksonville,FL
American Institute of Beauty,Largo,FL
Mai-trix Beauty College,Houston,TX
Maximum Style Tec School of Cosmetology,Logan,UT
Yakima Beauty School,Yakima,WA
Doane College-Lincoln Grand Island and Master,Lincoln,NE
ITT Technical Institute-Clovis,Clovis,CA
Heritage College-Little Rock,Little Rock,AR
MedTech College-Greenwood Campus,Greenwood,IN
MedTech College-Lexington Campus,Lexington,KY
Polytechnic University of Puerto Rico-Orlando,Orlando,FL
Citrus College,Glendora,CA
COBA Academy,Orange,CA
Western University of Health Sciences,Pomona,CA
Cuesta College,San Luis Obispo,CA
Marinello Schools of Beauty-Santa Clara,Santa Clara,CA
Elegance International,Hollywood,CA
Trinity College,Hartford,CT
United States Coast Guard Academy,New London,CT
Dawn Career Institute Inc,Wilmington,DE
Delaware Technical Community College-Terry,Dover,DE
Roosevelt University,Chicago,IL
Sauk Valley Community College,Dixon,IL
Shawnee Community College,Ullin,IL
National Latino Education Institute,Chicago,IL
Spoon River College,Canton,IL
Southern Illinois University-System Office,Carbondale,IL
Harper College,Palatine,IL
TESST College of Technology-Towson,Towson,MD
Washington Adventist University,Takoma Park,MD
Loyola University Maryland,Baltimore,MD
Maryland Institute College of Art,Baltimore,MD
Notre Dame of Maryland University,Baltimore,MD
House of Heavilin Beauty College-Blue Springs,Blue Springs,MO
University of Central Missouri,Warrensburg,MO
Columbia College,Columbia,MO
Crowder College,Neosho,MO
East Central College,Union,MO
Fontbonne University,Saint Louis,MO
Independence College of Cosmetology,Independence,MO
Logan University,Chesterfield,MO
Yeshiva of Far Rockaway Derech Ayson Rabbinical Seminary,Far Rockaway,NY
Belanger School of Nursing,Schenectady,NY
Five Towns College,Dix Hills,NY
Genesee Community College,Batavia,NY
SBI Campus-An Affiliate of Sanford-Brown,Melville,NY
Keuka College,Keuka Park,NY
Ohio Business College-Sandusky,Sandusky,OH
Malone University,Canton,OH
Miami University-Oxford,Oxford,OH
Miami Valley Career Technology Center,Clayton,OH
Fortis College-Cuyahoga Falls,Cuyahoga Falls,OH
Northeast Ohio Medical University,Rootstown,OH
Ohio College of Massotherapy Inc,Akron,OH
Kaplan College-Dayton,Dayton,OH
Ohio State School of Cosmetology & Experts Barber School,Columbus,OH
Ohio Wesleyan University,Delaware,OH
Temple University,Philadelphia,PA
Ursinus College,Collegeville,PA
Westminster College,New Wilmington,PA
YTI Career Institute-York,York,PA
Sentara College of Health Sciences,Chesapeake,VA
Tidewater Tech-Trades,Norfolk,VA
Patrick Henry Community College,Martinsville,VA
Richard Bland College of the College of William and Mary,Petersburg,VA
Tidewater Community College,Norfolk,VA
Virginia Polytechnic Institute and State University,Blacksburg,VA
Virginia State University,Petersburg,VA
Wards Corner Beauty Academy-Norfolk,Norfolk,VA
Washington County Adult Skill Center,Abingdon,VA
Everest University-Brandon,Tampa,FL
Greene County Career and Technology Center,Waynesburg,PA
Paul Mitchell the School-Boise,Boise,ID
Educators of Beauty College of Cosmetology-Rockford,Rockford,IL
Skyline College-Roanoke,Roanoke,VA
St Charles Community College,Cottleville,MO
Montana Bible College,Bozeman,MT
Arizona Academy of Beauty-North,Tucson,AZ
Empire Beauty School-Prescott,Prescott,AZ
Adrian's College of Beauty Turlock,Turlock,CA
Massage Therapy Institute of Colorado,Denver,CO
Phoenix Seminary,Phoenix,AZ
Brookstone College-Greensboro,Greensboro,NC
Academy of Hair Design-Pearl,Pearl,MS
Genesis Career College-Lebanon,Lebanon,TN
La Belle Beauty Academy,Miami,FL
Capella University,Minneapolis,MN
ITT Technical Institute-Greenville,Greenville,SC
Empire Beauty School-Monroeville,Monroeville,PA
CET-Sacramento,Sacramento,CA
Carver Career Center,Charleston,WV
New Hampshire Institute of Art,Manchester,NH
University of Phoenix-Milwaukee Campus,Milwaukee,WI
DeVry University's Keller Graduate School of Management-Ohio,Columbus,OH
Southwest Skill Center-Campus of Estrella Mountain Community College,Avondale,AZ
Milan Institute-Amarillo,Amarillo,TX
Vatterott College-Wichita,Wichita,KS
International Academy of Design and Technology-Orlando,Orlando,FL
Texas Barber Colleges and Hairstyling Schools,Houston,TX
Miller-Motte Technical College-North Charleston,Charleston,SC
Wyo Tech-Blairsville,Blairsville,PA
Asher College,Sacramento,CA
North Florida Cosmetology Institute Inc,Tallahassee,FL
The Salon Professional Academy-Fargo,Fargo,ND
Institute of Hair Design,Adamsville,TN
North West Beauty School,Houston,TX
Mountain State School of Massage,Charleston,WV
Shorter University-College of Adult & Professional Programs,Marietta,GA
The Art Institute of Indianapolis,Indianapolis,IN
ITT Technical Institute-Dunmore,Dunmore,PA
ITT Technical Institute-Swartz Creek,Swartz Creek,MI
Academy of Hair Design-Oklahoma City,Oklahoma City,OK
Toni & Guy Hairdressing Academy-Cranston,Cranston,RI
Paul Mitchell the School-Memphis,Bartlett,TN
The Ohio Academy Paul Mitchell Partner School-Cleveland,Twinsburg,OH
Fortis College-Phoenix,Phoenix,AZ
Lamson Institute,San Antonio,TX
Euphoria Institute of Beauty Arts & Sciences-Las Vegas,Las Vegas,NV
Argosy University-Phoenix Online Division,Phoenix,AZ
Strayer University-Ohio,Mason,OH
Minnesota School of Business-Elk River,Elk River,MN
Globe University-Eau Claire,Eau Claire,WI
Brownson Technical School,Anaheim,CA
Bryan University,Los Angeles,CA
University of California-Hastings College of Law,San Francisco,CA
University of California-Los Angeles,Los Angeles,CA
California Western School of Law,San Diego,CA
Canada College,Redwood City,CA
Charles R Drew University of Medicine and Science,Los Angeles,CA
Empire Beauty School-Thornton,Thornton,CO
Central Connecticut State University,New Britain,CT
Charter Oak State College,New Britain,CT
Fox Institute of Business-West Hartford,West Hartford,CT
University of New Haven,West Haven,CT
Joliet Junior College,Joliet,IL
Lexington College,Chicago,IL
Loyola University Chicago,Chicago,IL
Lutheran School of Theology at Chicago,Chicago,IL
Trinity College of Nursing & Health Sciences,Rock Island,IL
Morrison Institute of Technology,Morrison,IL
Oakton Community College,Des Plaines,IL
College of the Atlantic,Bar Harbor,ME
Bangor Theological Seminary,Bangor,ME
Beal College,Bangor,ME
Empire Beauty School-Maine,Portland,ME
Spa Tech Institute-Westbrook,Westbrook,ME
Thomas College,Waterville,ME
The College of Saint Scholastica,Duluth,MN
Winona State University,Winona,MN
Alcorn State University,Alcorn State,MS
Holmes Community College,Goodman,MS
Meridian Community College,Meridian,MS
Board of Trustees-Mississippi State Institutions of Higher Learning,Jackson,MS
Mississippi Delta Community College,Moorhead,MS
Mississippi University for Women,Columbus,MS
Mississippi Valley State University,Itta Bena,MS
Northeast Mississippi Community College,Booneville,MS
Northwest Mississippi Community College,Senatobia,MS
Canisius College,Buffalo,NY
Capri School of Hair Design,Nanuet,NY
Cayuga County Community College,Auburn,NY
Cazenovia College,Cazenovia,NY
Cochran School of Nursing,Yonkers,NY
Colgate Rochester Crozer Divinity School,Rochester,NY
Metropolitan College of New York,New York,NY
Columbia University in the City of New York,New York,NY
Empire Beauty School-Queens,Astoria,NY
Concordia College-New York,Bronxville,NY
Continental School of Beauty Culture-Batavia,Batavia,NY
University of Cincinnati-Clermont College,Batavia,OH
Clark State Community College,Springfield,OH
Scott College of Cosmetology,Wheeling,WV
Cleveland Institute of Art,Cleveland,OH
Cleveland Institute of Music,Cleveland,OH
University of Dayton,Dayton,OH
Defiance College,Defiance,OH
DeVry University-Ohio,Columbus,OH
Eastern Hills Academy of Hair Design,Cincinnati,OH
Edison State Community College,Piqua,OH
Bryant & Stratton College-Cleveland,Cleveland,OH
Hondros College,Westerville,OH
University of Pittsburgh-Greensburg,Greensburg,PA
University of Pittsburgh-Johnstown,Johnstown,PA
University of Pittsburgh-Titusville,Titusville,PA
Saint Francis University,Loretto,PA
Schuylkill Technology Center,Frackville,PA
The University of Texas System Office,Austin,TX
Texas Tech University,Lubbock,TX
Texas Woman's University,Denton,TX
Victoria Beauty College Inc,Victoria,TX
Vogue College of Cosmetology-McAllen,McAllen,TX
Broadview University-West Jordan,West Jordan,UT
Ogden-Weber Applied Technology College,Ogden,UT
Utah State University,Logan,UT
Warren County Community College,Washington,NJ
Kaplan Career Institute-Nashville,Nashville,TN
Maricopa Skill Center,Phoenix,AZ
CC's Cosmetology College,Tulsa,OK
Chisholm Trail Technology Center,Omega,OK
Gordon Cooper Technology Center,Shawnee,OK
Kiamichi Technology Center-Atoka,Atoka,OK
Kiamichi Technology Center-Hugo,Hugo,OK
American National College,South Houston,TX
Virginia Beach City Public Schools School of Practical Nursing,Virginia Beach,VA
Northwest Technology Center-Fairview,Fairview,OK
Empire Beauty School-Green Bay,Green Bay,WI
Brown Mackie College-Fort Wayne,Fort Wayne,IN
Career Training Academy-Monroeville,Monroeville,PA
Compu-Med Vocational Careers Corp,Hialeah,FL
Florida College of Natural Health-Maitland,Maitland,FL
Florida College of Natural Health-Bradenton,Bradenton,FL
Newbridge College-San Diego East,El Cajon,CA
Argosy University-Seattle,Seattle,WA
DeVry University-Maryland,Bethesda,MD
Cosmetology School of Arts and Sciences,Burley,ID
Heritage College-Kansas City,Kansas City,MO
Kenneth Shuler School of Cosmetology-Spartanburg,Spartanburg,SC
Kenneth Shuler School of Cosmetology-Columbia,Columbia,SC
Minnesota School of Business-Shakopee,Shakopee,MN
Northwest Career College,Las Vegas,NV
Ave Maria University,Ave Maria,FL
Buchanan Beauty College,Shelbyville,TN
CALC Institute of Technology,Alton,IL
Cambridge Institute of Allied Health & Technology,Altamonte Springs,FL
Career Care Institute,Lancaster,CA
Renaissance College-Massage Program,Bountiful,UT
Shear Academy,Crossville,TN
Southern Technical College,Orlando,FL
Career Quest Learning Centers-Jackson,Jackson,MI
Regency Beauty Institute-Cypresswood,Spring,TX
BioHealth College,San Jose,CA
International Professional School of Bodywork,San Diego,CA
Cambridge Institute of Health & Technology,Delray Beach,FL
Cozmo The School,Bonita Springs,FL
Central Alabama Community College,Alexander City,AL
University of La Verne,La Verne,CA
Laney College,Oakland,CA
Los Angeles Harbor College,Wilmington,CA
Los Angeles Southwest College,Los Angeles,CA
Los Angeles Valley College,Valley Glen,CA
The Master's College and Seminary,Santa Clarita,CA
MiraCosta College,Oceanside,CA
Mission College,Santa Clara,CA
Moler Barber College,Oakland,CA
Miami Dade College,Miami,FL
St Petersburg College,Clearwater,FL
Santa Fe College,Gainesville,FL
Rose-Hulman Institute of Technology,Terre Haute,IN
University of Saint Francis-Fort Wayne,Fort Wayne,IN
Saint Elizabeth School of Nursing,Lafayette,IN
AIB College of Business,Des Moines,IA
Indian Hills Community College,Ottumwa,IA
Iowa Lakes Community College,Estherville,IA
Iowa School of Beauty-Des Moines,Des Moines,IA
Holyoke Community College,Holyoke,MA
Sanford-Brown College-Boston,Boston,MA
Marian Court College,Swampscott,MA
Massachusetts Institute of Technology,Cambridge,MA
University of Massachusetts Medical School Worcester,Worcester,MA
MGH Institute of Health Professions,Boston,MA
Newbury College,Brookline,MA
North Shore Community College,Danvers,MA
Northern Essex Community College,Haverhill,MA
College of Our Lady of the Elms,Chicopee,MA
Kansas City University of Medicine and Biosciences,Kansas City,MO
Webster University,Saint Louis,MO
Wentworth Military Academy & Junior College,Lexington,MO
William Jewell College,Liberty,MO
Fort Peck Community College,Poplar,MT
Miles Community College,Miles City,MT
Chadron State College,Chadron,NE
Otsego Area BOCES-Practical Nursing Program,Oneonta,NY
Sh'or Yoshuv Rabbinical College,Lawrence,NY
Saint John Fisher College,Rochester,NY
Eves College of Hairstyling,Lawton,OK
Northeastern State University,Tahlequah,OK
Oklahoma State University-Main Campus,Stillwater,OK
Rose State College,Midwest City,OK
Southwestern Christian University,Bethany,OK
Clackamas Community College,Oregon City,OR
Avera McKennan Hospital School of Radiologic Technology,Sioux Falls,SD
National American University-Sioux Falls,Sioux Falls,SD
Oglala Lakota College,Kyle,SD
Presentation College,Aberdeen,SD
Avera Sacred Heart Hospital,Yankton,SD
Austin Peay State University,Clarksville,TN
Carson-Newman University,Jefferson City,TN
Columbia State Community College,Columbia,TN
Fayetteville College of Cosmetology Arts and Sciences,Fayetteville,TN
Fisk University,Nashville,TN
Welch College,Nashville,TN
Lee University,Cleveland,TN
